make,horsepower,torque,highway_mpg
Scion,156.6153846,156,29.84615385
MINI,160.9677419,155.0322581,33.87096774
Kia,179.7407407,170.6740741,30.94814815
Honda,188.225,175.27,30.41
Volkswagen,192.496124,210.4883721,30.19379845
Mitsubishi,195.3529412,196.1960784,26.68627451
Subaru,205.2095238,200.8666667,26.53333333
Saab,222.5423729,236.1864407,27.52542373
Lotus,231,168.0909091,26.36363636
Volvo,247.2427184,254.2038835,25.7184466
Toyota,253.4492308,257.1446154,23.93846154
Acura,262.8484848,239.2727273,25.84848485
Mercedes,280.21875,298.875,23.15625
Audi,300.183908,297.908046,25.17241379
Lexus,301.6153846,278.9230769,25.25
Infiniti,322.1294118,281.4235294,24.29411765
Cadillac,340.98,324.76,22.52
BMW,347.1804511,349.5338346,24.32330827
Land Rover,373.8571429,363.2857143,19.54285714
Porsche,376.5490196,330.0588235,24
Mercedes-Benz,388.4285714,421.1428571,20.42857143
Maserati,422.5,353.6666667,19.41666667
Jaguar,448.75,418.7954545,22.18181818
Aston Martin,470,413.6511628,18.44186047
Rolls-Royce,475,539.8,18.4
Mercedes-AMG,494.8333333,512.6666667,16.83333333
AMG,525.9,527.7,18.9
Ferrari,540,434,16
Lamborghini,554.8,398,20
Bentley,577.4444444,576.3333333,16.22222222
Maybach,599.8461538,720.9230769,16